X_obs,X_true,x_noise,x_bias,a,y,split,domain_id,env_range_start,env_range_end
-5.314123180534048,-3.6663823962379407,-1.6477407842961067,-49.28483161122115,0,-11.984843820938245,train,0,-4.0,-3.2
-3.0455491347955235,-3.4237404052462734,0.3781912704507501,-40.1330794239764,1,-18.2978371005341,train,0,-4.0,-3.2
-2.984515723044084,-3.999908500146124,1.0153927771020401,-63.99560810747987,1,-24.798847121934347,train,0,-4.0,-3.2
-4.789553070892912,-3.758133941894528,-1.0314191289983836,-53.07827052319609,0,-12.335967236147507,train,0,-4.0,-3.2
-3.4619401129493808,-3.8825952873463097,0.42065517439692884,-58.52836190037046,0,-12.81835310004634,train,0,-4.0,-3.2
-5.50086921766988,-3.926129124184962,-1.574740093484918,-60.519277729955185,1,-23.882242918545924,train,0,-4.0,-3.2
-3.897426442017125,-3.8509918308978635,-0.046434611119261344,-57.11074060349095,1,-22.97512361339178,train,0,-4.0,-3.2
-5.662478244009516,-3.723551418365562,-1.9389268256439538,-51.62642664483056,1,-21.495939584062796,train,0,-4.0,-3.2
-2.3368847707326674,-3.682586020615464,1.3457012498827967,-49.94116862407157,1,-21.03599178666071,train,0,-4.0,-3.2
-3.078265967273121,-3.5689466127973146,0.4906806455241933,-45.45902893923208,1,-19.79864562623836,train,0,-4.0,-3.2
-3.694184735528298,-3.664644388477364,-0.029540347050934026,-49.21477605342392,1,-20.836888376116878,train,0,-4.0,-3.2
-4.382018342685584,-3.4518243996825926,-0.9301939430029915,-41.12880420703256,1,-18.58123404045429,train,0,-4.0,-3.2
-2.307931084024254,-3.836438200214786,1.528507116190532,-56.46568747760698,0,-12.638628350196496,train,0,-4.0,-3.2
-0.9369839517815626,-3.297506050887244,2.3605220991056814,-35.855584242818,1,-17.063635001225332,train,0,-4.0,-3.2
-6.207668162777761,-3.978089925441659,-2.2295782373361024,-62.954066519644215,1,-24.525083080253822,train,0,-4.0,-3.2
-1.9802291553138942,-3.4636259918572785,1.4833968365433843,-41.55209929436959,1,-18.701297834445754,train,0,-4.0,-3.2
-1.712975254327611,-3.6661561581062987,1.9531809037786876,-49.2757086510373,1,-20.853610204526355,train,0,-4.0,-3.2
-3.147434101354028,-3.553048137243399,0.4056140358893709,-44.85421642779845,0,-11.556228740286166,train,0,-4.0,-3.2
-5.326812087926036,-3.887690449123813,-1.439121638802223,-58.759086171314806,1,-23.4148885816344,train,0,-4.0,-3.2
-2.8055044276792716,-3.841518808732097,1.0360143810528257,-56.69031781572878,1,-22.86261998934205,train,0,-4.0,-3.2
-3.5765087075533515,-3.3594043450595708,-0.21710436249378054,-37.91288545817471,0,-10.836470744342208,train,0,-4.0,-3.2
-3.950095492776391,-3.225390739424482,-0.7247047533519088,-33.554208904892775,0,-10.347256396371302,train,0,-4.0,-3.2
-5.22533042027296,-3.7492606574726057,-1.476069762800354,-52.70319013627935,1,-21.78841999967369,train,0,-4.0,-3.2
-2.78549691229309,-3.4461419074645487,0.6606449951714585,-40.92601616185056,0,-11.156946045630658,train,0,-4.0,-3.2
-2.3475204390599522,-3.2988886781631694,0.9513682391032172,-35.90070534107685,1,-17.076807102704876,train,0,-4.0,-3.2
-4.032551544812672,-3.2843146691969225,-0.7482368756157499,-35.42699207667154,0,-10.5614838491242,train,0,-4.0,-3.2
-3.3072730264161327,-3.9319646309041776,0.624691604488045,-60.78953309788124,1,-23.95380051228878,train,0,-4.0,-3.2
-5.341965840961465,-3.968756173413694,-1.3732096675477712,-62.51197994475885,1,-24.408664509192853,train,0,-4.0,-3.2
-2.9019024261027315,-3.864135664348345,0.9622332382456136,-57.69751336538204,0,-12.746357260352676,train,0,-4.0,-3.2
