X_obs,X_true,x_noise,x_bias,a,y,split,domain_id,env_range_start,env_range_end
-4.490252788385994,-3.6663823962379407,-0.8238703921480534,-3.6663823962379407,0,-1.0999147188713823,train,0,-4.0,-3.2
-3.2346447700208985,-3.4237404052462734,0.18909563522537506,-3.4237404052462734,1,-1.7118702026231367,train,0,-4.0,-3.2
-3.492212111595104,-3.999908500146124,0.5076963885510201,-3.999908500146124,1,-1.999954250073062,train,0,-4.0,-3.2
-4.27384350639372,-3.758133941894528,-0.5157095644991918,-3.758133941894528,0,-1.1274401825683584,train,0,-4.0,-3.2
-3.672267700147845,-3.8825952873463097,0.21032758719846442,-3.8825952873463097,0,-1.1647785862038929,train,0,-4.0,-3.2
-4.713499170927421,-3.926129124184962,-0.787370046742459,-3.926129124184962,1,-1.963064562092481,train,0,-4.0,-3.2
-3.874209136457494,-3.8509918308978635,-0.023217305559630672,-3.8509918308978635,1,-1.9254959154489317,train,0,-4.0,-3.2
-4.693014831187539,-3.723551418365562,-0.9694634128219769,-3.723551418365562,1,-1.861775709182781,train,0,-4.0,-3.2
-3.009735395674066,-3.682586020615464,0.6728506249413984,-3.682586020615464,1,-1.841293010307732,train,0,-4.0,-3.2
-3.323606290035218,-3.5689466127973146,0.24534032276209666,-3.5689466127973146,1,-1.7844733063986573,train,0,-4.0,-3.2
-3.679414562002831,-3.664644388477364,-0.014770173525467013,-3.664644388477364,1,-1.832322194238682,train,0,-4.0,-3.2
-3.9169213711840882,-3.4518243996825926,-0.46509697150149576,-3.4518243996825926,1,-1.7259121998412963,train,0,-4.0,-3.2
-3.07218464211952,-3.836438200214786,0.764253558095266,-3.836438200214786,0,-1.1509314600644358,train,0,-4.0,-3.2
-2.1172450013344033,-3.297506050887244,1.1802610495528407,-3.297506050887244,1,-1.648753025443622,train,0,-4.0,-3.2
-5.0928790441097105,-3.978089925441659,-1.1147891186680512,-3.978089925441659,1,-1.9890449627208295,train,0,-4.0,-3.2
-2.721927573585586,-3.4636259918572785,0.7416984182716921,-3.4636259918572785,1,-1.7318129959286392,train,0,-4.0,-3.2
-2.689565706216955,-3.6661561581062987,0.9765904518893438,-3.6661561581062987,1,-1.8330780790531493,train,0,-4.0,-3.2
-3.3502411192987136,-3.553048137243399,0.20280701794468545,-3.553048137243399,0,-1.0659144411730197,train,0,-4.0,-3.2
-4.607251268524925,-3.887690449123813,-0.7195608194011115,-3.887690449123813,1,-1.9438452245619064,train,0,-4.0,-3.2
-3.3235116182056843,-3.841518808732097,0.5180071905264129,-3.841518808732097,1,-1.9207594043660485,train,0,-4.0,-3.2
-3.467956526306461,-3.3594043450595708,-0.10855218124689027,-3.3594043450595708,0,-1.0078213035178711,train,0,-4.0,-3.2
-3.5877431161004365,-3.225390739424482,-0.3623523766759544,-3.225390739424482,0,-0.9676172218273446,train,0,-4.0,-3.2
-4.487295538872782,-3.7492606574726057,-0.738034881400177,-3.7492606574726057,1,-1.8746303287363029,train,0,-4.0,-3.2
-3.1158194098788194,-3.4461419074645487,0.33032249758572924,-3.4461419074645487,0,-1.0338425722393645,train,0,-4.0,-3.2
-2.823204558611561,-3.2988886781631694,0.4756841195516086,-3.2988886781631694,1,-1.6494443390815847,train,0,-4.0,-3.2
-3.6584331070047975,-3.2843146691969225,-0.37411843780787496,-3.2843146691969225,0,-0.9852944007590767,train,0,-4.0,-3.2
-3.619618828660155,-3.9319646309041776,0.3123458022440225,-3.9319646309041776,1,-1.9659823154520888,train,0,-4.0,-3.2
-4.6553610071875795,-3.968756173413694,-0.6866048337738856,-3.968756173413694,1,-1.984378086706847,train,0,-4.0,-3.2
-3.383019045225538,-3.864135664348345,0.4811166191228068,-3.864135664348345,0,-1.1592406993045035,train,0,-4.0,-3.2
-3.2695456182019824,-3.29748599725647,0.027940379054487322,-3.29748599725647,0,-0.9892457991769409,train,0,-4.0,-3.2
-4.0332643960779695,-3.92132253293356,-0.11194186314440926,-3.92132253293356,1,-1.96066126646678,train,0,-4.0,-3.2
-3.7241614235134453,-3.6631138999959583,-0.06104752351748713,-3.6631138999959583,1,-1.8315569499979791,train,0,-4.0,-3.2
-2.7123566816760776,-3.2336883758795985,0.5213316942035208,-3.2336883758795985,1,-1.6168441879397992,train,0,-4.0,-3.2
-3.1232207881025817,-3.5734677720215866,0.45024698391900486,-3.5734677720215866,1,-1.7867338860107933,train,0,-4.0,-3.2
-3.128819114227996,-3.4464983088396215,0.3176791946116255,-3.4464983088396215,1,-1.7232491544198107,train,0,-4.0,-3.2
