X_obs,X_true,x_noise,x_bias,a,y,split,domain_id,env_range_start,env_range_end
-5.314123180534048,-3.6663823962379407,-1.6477407842961067,-13.442359875443463,0,3.9509380560504415,train,0,-4.0,-3.2
-3.0455491347955235,-3.4237404052462734,0.3781912704507501,-11.721998362515917,1,5.311200654993633,train,0,-4.0,-3.2
-2.984515723044084,-3.999908500146124,1.0153927771020401,-15.999268009541217,1,3.6002927961835134,train,0,-4.0,-3.2
-4.789553070892912,-3.758133941894528,-1.0314191289983836,-14.123570725219704,0,3.6443931736511335,train,0,-4.0,-3.2
-3.4619401129493808,-3.8825952873463097,0.42065517439692884,-15.074546165323772,0,3.216454225604302,train,0,-4.0,-3.2
-5.50086921766988,-3.926129124184962,-1.574740093484918,-15.414489899773375,1,3.8342040400906496,train,0,-4.0,-3.2
-3.897426442017125,-3.8509918308978635,-0.046434611119261344,-14.830138081642078,1,4.067944767343168,train,0,-4.0,-3.2
-5.662478244009516,-3.723551418365562,-1.9389268256439538,-13.864835165212186,1,4.454065933915125,train,0,-4.0,-3.2
-2.3368847707326674,-3.682586020615464,1.3457012498827967,-13.56143979923244,1,4.575424080307023,train,0,-4.0,-3.2
-3.078265967273121,-3.5689466127973146,0.4906806455241933,-12.737379924997425,1,4.90504803000103,train,0,-4.0,-3.2
-3.694184735528298,-3.664644388477364,-0.029540347050934026,-13.429618493998634,1,4.628152602400546,train,0,-4.0,-3.2
-4.382018342685584,-3.4518243996825926,-0.9301939430029915,-11.915091686244091,1,5.233963325502363,train,0,-4.0,-3.2
-2.307931084024254,-3.836438200214786,1.528507116190532,-14.718258064067266,0,3.3767838711697307,train,0,-4.0,-3.2
-0.9369839517815626,-3.297506050887244,2.3605220991056814,-10.873546155637987,1,5.650581537744805,train,0,-4.0,-3.2
-6.207668162777761,-3.978089925441659,-2.2295782373361024,-15.825199454900424,1,3.66992021803983,train,0,-4.0,-3.2
-1.9802291553138942,-3.4636259918572785,1.4833968365433843,-11.996705011469317,1,5.201317995412273,train,0,-4.0,-3.2
-1.712975254327611,-3.6661561581062987,1.9531809037786876,-13.440700975620736,1,4.6237196097517055,train,0,-4.0,-3.2
-3.147434101354028,-3.553048137243399,0.4056140358893709,-12.624151065568787,0,4.319132020494045,train,0,-4.0,-3.2
-5.326812087926036,-3.887690449123813,-1.439121638802223,-15.114137028208514,1,3.9543451887165944,train,0,-4.0,-3.2
-2.8055044276792716,-3.841518808732097,1.0360143810528257,-14.75726675784247,1,4.097093296863012,train,0,-4.0,-3.2
-3.5765087075533515,-3.3594043450595708,-0.21710436249378054,-11.285597553605124,0,4.921481100877695,train,0,-4.0,-3.2
-3.950095492776391,-3.225390739424482,-0.7247047533519088,-10.403145421965208,0,5.3185845601156565,train,0,-4.0,-3.2
-5.22533042027296,-3.7492606574726057,-1.476069762800354,-14.056955477671917,1,4.377217808931233,train,0,-4.0,-3.2
-2.78549691229309,-3.4461419074645487,0.6606449951714585,-11.875894046383399,0,4.65584767912747,train,0,-4.0,-3.2
-2.3475204390599522,-3.2988886781631694,0.9513682391032172,-10.882666510913143,1,5.6469333956347425,train,0,-4.0,-3.2
-4.032551544812672,-3.2843146691969225,-0.7482368756157499,-10.78672284630209,0,5.145974719164059,train,0,-4.0,-3.2
-3.3072730264161327,-3.9319646309041776,0.624691604488045,-15.460345858681425,1,3.8158616565274297,train,0,-4.0,-3.2
-5.341965840961465,-3.968756173413694,-1.3732096675477712,-15.751025564009307,1,3.6995897743962765,train,0,-4.0,-3.2
-2.9019024261027315,-3.864135664348345,0.9622332382456136,-14.931544432488824,0,3.280805005380029,train,0,-4.0,-3.2
-3.241605239147495,-3.29748599725647,0.055880758108974644,-10.873413902102495,0,5.106963744053877,train,0,-4.0,-3.2
-4.145206259222379,-3.92132253293356,-0.22388372628881853,-15.37677040729247,1,3.849291837083012,train,0,-4.0,-3.2
-3.7852089470309327,-3.6631138999959583,-0.12209504703497426,-13.4184034443436,1,4.63263862226256,train,0,-4.0,-3.2
-2.1910249874725567,-3.2336883758795985,1.0426633884070415,-10.456740512298834,1,5.817303795080466,train,0,-4.0,-3.2
-2.672973804183577,-3.5734677720215866,0.9004939678380097,-12.769671917676922,1,4.892131232929231,train,0,-4.0,-3.2
-2.8111399196163704,-3.4464983088396215,0.635358389223251,-11.878350592834371,1,5.248659762866251,train,0,-4.0,-3.2
-3.582346043198286,-3.7475874951951496,0.1652414519968633,-14.044412034143056,1,4.382235186342777,train,0,-4.0,-3.2
-3.357413904359486,-3.450799257854733,0.0933853534952471,-11.908015518010776,1,5.236793792795689,train,0,-4.0,-3.2
-2.5902431480838723,-3.332299462482102,0.7420563143982294,-11.104219707658505,0,5.003101131553673,train,0,-4.0,-3.2
-3.706375907110161,-3.9853693781246466,0.27899347101448546,-15.883169080093634,0,2.8525739139578645,train,0,-4.0,-3.2
-2.580822859806644,-3.3998845480440263,0.8190616882373821,-11.559214940028532,0,4.79835327698716,train,0,-4.0,-3.2
-3.581051257096476,-3.2089111288748042,-0.372140128221672,-10.29711063301657,0,5.366300215142543,train,0,-4.0,-3.2
-6.323272793424695,-3.4014674764961286,-2.9218053169285665,-11.569980993660941,1,5.372007602535623,train,0,-4.0,-3.2
-2.529055284117179,-3.7756448063484758,1.2465895222312968,-14.25549370370622,0,3.5850278333322008,train,0,-4.0,-3.2
-0.7442009608697004,-3.3685765372388095,2.624375576369109,-11.347307887235809,0,4.8937114507438855,train,0,-4.0,-3.2
-3.387781862455588,-3.9174191947378865,0.5296373322822985,-15.346173147300831,1,3.861530741079667,train,0,-4.0,-3.2
-3.761871458999476,-3.641685179059276,-0.12018627994019973,-13.261870943379993,1,4.695251622648002,train,0,-4.0,-3.2
-3.4368572902007632,-3.2731235975255237,-0.16373369267523963,-10.713338084678426,1,5.714664766128629,train,0,-4.0,-3.2
-3.9079737066308287,-3.7651086813010566,-0.14286502532977186,-14.176043382008581,0,3.6207804780961386,train,0,-4.0,-3.2
-3.7488884391709156,-3.769779729130921,0.020891289960005516,-14.211239206166402,0,3.604942357225119,train,0,-4.0,-3.2
-5.242399616801644,-3.895977142305378,-1.346422474496266,-15.178637893365979,1,3.928544842653608,train,0,-4.0,-3.2
-4.605019783208036,-3.9845064337037623,-0.6205133495042733,-15.876291520226674,1,3.64948339190933,train,0,-4.0,-3.2
-4.653363766828402,-3.4569315736480872,-1.1964321931803152,-11.95037590488504,0,4.622330842801731,train,0,-4.0,-3.2
-3.5321385135346284,-3.830697507199953,0.29855899366532457,-14.674243391667934,0,3.3965904737494297,train,0,-4.0,-3.2
-4.143532055347254,-3.787562672502219,-0.35596938284503526,-14.345630998132153,0,3.544466050840531,train,0,-4.0,-3.2
-3.0124878838021774,-3.6067414725757296,0.5942535887735525,-13.008584049997742,1,4.796566380000903,train,0,-4.0,-3.2
-4.166953755597337,-3.9573099639063356,-0.20964379169100114,-15.660302150432363,0,2.9528640323054365,train,0,-4.0,-3.2
-2.3571036902208995,-3.54070591560639,1.1836022253854903,-12.536598380810084,0,4.358530728635462,train,0,-4.0,-3.2
-3.626376458472822,-3.882617140075352,0.2562406816025301,-15.074715856406906,1,3.9701136574372375,train,0,-4.0,-3.2
-0.8997158957136926,-3.528555570477373,2.62883967476368,-12.450704413946898,0,4.397183013723896,train,0,-4.0,-3.2
-5.715826419452566,-3.440193311983255,-2.275633107469311,-11.834930023814318,1,5.266027990474273,train,0,-4.0,-3.2
-4.694432482843629,-3.918132456937739,-0.7763000259058899,-15.351761950108964,0,3.0917071224509662,train,0,-4.0,-3.2
-2.5869709397658918,-3.6687552097443454,1.0817842699784534,-13.459764789026275,0,3.9431058449381764,train,0,-4.0,-3.2
-0.41048902565012657,-3.444479873817804,3.0339908481676776,-11.864441601135916,1,5.254223359545634,train,0,-4.0,-3.2
-3.96701831763703,-3.668656584378478,-0.29836173325855203,-13.459041134103561,1,4.616383546358575,train,0,-4.0,-3.2
-3.9076344410290633,-3.9600372328431304,0.05240279181406704,-15.681894885503876,0,2.943147301523256,train,0,-4.0,-3.2
-3.8428599662839176,-3.571282875267591,-0.2715770910163268,-12.754061375179552,1,4.898375449928179,train,0,-4.0,-3.2
-1.871215748719059,-3.468964283824169,1.5977485351051102,-12.033713202447732,1,5.186514719020907,train,0,-4.0,-3.2
-3.932858146524576,-3.5880887103533534,-0.34476943617122263,-12.87438059336519,1,4.8502477626539235,train,0,-4.0,-3.2
-2.428240387353624,-3.2443241952073496,0.8160838078537256,-10.525639483607817,1,5.789744206556873,train,0,-4.0,-3.2
-3.9145178862768115,-3.530755967598406,-0.38376191867840553,-12.466237702731755,1,5.013504918907298,train,0,-4.0,-3.2
-4.804348974064887,-3.2772784677696936,-1.527070506295193,-10.74055415530687,0,5.166750630111908,train,0,-4.0,-3.2
-3.5137629721268913,-3.89002023668301,0.3762572645561186,-15.13225744180334,1,3.9470970232786637,train,0,-4.0,-3.2
-3.284757146077002,-3.888578922199393,0.6038217761223913,-15.121046034173395,0,3.1955292846219727,train,0,-4.0,-3.2
-1.802215909993667,-3.354086969032381,1.5518710590387141,-11.249899395832825,1,5.50004024166687,train,0,-4.0,-3.2
-3.814394962112353,-3.6818585304115734,-0.1325364317007796,-13.556082237964471,0,3.8997629929159876,train,0,-4.0,-3.2
-4.608551118761287,-3.867716642306454,-0.7408344764548332,-14.95923202517431,0,3.2683455886715604,train,0,-4.0,-3.2
-2.5826798197403416,-3.257993135683173,0.6753133159428315,-10.614519272158674,0,5.223466327528596,train,0,-4.0,-3.2
-3.432902801518316,-3.721787312203595,0.28888451068527865,-13.85170079727966,0,3.7667346412241525,train,0,-4.0,-3.2
-3.062552224943909,-3.3993503174910757,0.33679809254716686,-11.555582581026677,0,4.799987838537995,train,0,-4.0,-3.2
-3.5069368562163725,-3.419201611719639,-0.08773524449673333,-11.690939661586178,1,5.323624135365528,train,0,-4.0,-3.2
-1.900948843042829,-3.2933551270353525,1.3924062839925235,-10.846187992770043,1,5.661524802891983,train,0,-4.0,-3.2
-3.0576709747046444,-3.501062234355513,0.44339125965086845,-12.257436768830416,1,5.097025292467833,train,0,-4.0,-3.2
-1.113655602768953,-3.3992460527781305,2.2855904500091775,-11.554873727327701,1,5.3780505090689195,train,0,-4.0,-3.2
-2.38761328814512,-3.720881326417726,1.3332680382726056,-13.844957845284137,0,3.769768969622138,train,0,-4.0,-3.2
-2.993197931267727,-3.784057686587979,0.7908597553202522,-14.319092575425568,1,4.272362969829772,train,0,-4.0,-3.2
-5.236217034182656,-3.283291025443147,-1.9529260087395088,-10.77999995775551,0,5.14900001901002,train,0,-4.0,-3.2
-2.9347439117482095,-3.6575270481029643,0.7227831363547548,-13.377504107604784,1,4.648998356958086,train,0,-4.0,-3.2
-2.7237893179048203,-3.2281279622812917,0.5043386443764715,-10.420810140862365,1,5.831675943655054,train,0,-4.0,-3.2
-2.496104794380975,-3.469246801745242,0.9731420073642668,-12.03567337141959,0,4.5839469828611845,train,0,-4.0,-3.2
-2.249312910183992,-3.5026434238327027,1.2533305136487105,-12.268510954518478,0,4.479170070466685,train,0,-4.0,-3.2
-4.3892570517840115,-3.9082032216373,-0.48105383014671194,-15.27405242161617,0,3.126676410272723,train,0,-4.0,-3.2
-2.251601850893854,-3.2404085930343434,0.9888067421404891,-10.500247849810814,0,5.274888467585134,train,0,-4.0,-3.2
-4.314836810438956,-3.6400702932160476,-0.6747665172229077,-13.250111739553963,0,4.037449717200716,train,0,-4.0,-3.2
-1.1914346184794535,-3.537288308490295,2.3458536900108413,-12.512408577382132,0,4.36941614017804,train,0,-4.0,-3.2
-5.271832557611673,-3.6734905577909753,-1.5983419998206978,-13.49453287817945,0,3.927460204819247,train,0,-4.0,-3.2
-5.923204688284118,-3.810378415805578,-2.11282627247854,-14.518983671637026,1,4.192406531345189,train,0,-4.0,-3.2
-5.258161902539117,-3.277296383550197,-1.9808655189889195,-10.740671585631201,0,5.166697786465959,train,0,-4.0,-3.2
-4.609723111657829,-3.5410564106621716,-1.0686667009956579,-12.539080503491663,1,4.984367798603334,train,0,-4.0,-3.2
-5.340642216646746,-3.9977037383750726,-1.3429384782716736,-15.981635179818031,0,2.8082641690818857,train,0,-4.0,-3.2
-1.1589893846590509,-3.506284069103421,2.3472946844443703,-12.294027973248445,0,4.4676874120382,train,0,-4.0,-3.2
-4.130483476276144,-3.738684078582323,-0.39179939769382105,-13.977758639444954,0,3.710008612249771,train,0,-4.0,-3.2
-5.189564465446836,-3.5783535181939126,-1.611210947252923,-12.804613901170752,0,4.237923744473162,train,0,-4.0,-3.2
-1.9539867484156304,-3.2912463205513807,1.3372595721357503,-10.832302342543002,1,5.667079062982799,train,0,-4.0,-3.2
-4.418012918583911,-3.714184191998,-0.703828726585911,-13.795164212087837,0,3.7921761045604736,train,0,-4.0,-3.2
-4.757395931113837,-3.2731718792641606,-1.4842240518496768,-10.713654151205677,1,5.714538339517729,train,0,-4.0,-3.2
-2.4503051941873983,-3.5013119073665577,1.0510067131791594,-12.259185072666842,0,4.483366717299921,train,0,-4.0,-3.2
-3.2393083938291154,-3.987343005722755,0.7480346118936393,-15.898904245286172,1,3.6404383018855313,train,0,-4.0,-3.2
-3.778398232551264,-3.256450213004991,-0.5219480195462732,-10.604467989780252,0,5.227989404598887,train,0,-4.0,-3.2
-1.7582344656969866,-3.447282465986461,1.6890480002894743,-11.883756400297695,1,5.246497439880922,train,0,-4.0,-3.2
-3.0472198239859454,-3.2021417196388158,0.15492189565287054,-10.253711592651433,0,5.385829783306855,train,0,-4.0,-3.2
-1.9217880746949771,-3.8621275933237373,1.9403395186287602,-14.916029547112604,1,4.033588181154958,train,0,-4.0,-3.2
-3.2870023418970127,-3.890291400296898,0.6032890583998851,-15.134367179223998,0,3.1895347693492004,train,0,-4.0,-3.2
-1.383356980826438,-3.253923629570269,1.870566648743831,-10.588018987075754,1,5.764792405169698,train,0,-4.0,-3.2
-3.3112622350975665,-3.44254547080808,0.1312832357105138,-11.851119318581226,1,5.259552272567509,train,0,-4.0,-3.2
-5.4108931381971885,-3.94719986182235,-1.463693276374839,-15.580386749170378,1,3.7678453003318486,train,0,-4.0,-3.2
-0.4563871790443508,-3.395629557918027,2.939242378873676,-11.530300094606575,1,5.38787996215737,train,0,-4.0,-3.2
-4.051828050810085,-3.396899049231003,-0.6549290015790813,-11.538923150666493,0,4.807484582200078,train,0,-4.0,-3.2
-3.5001858070294896,-3.2615803715628133,-0.23860543546667606,-10.637906520163819,0,5.212942065926281,train,0,-4.0,-3.2
-4.271258399002728,-3.4307801930972226,-0.8404782059055056,-11.770252733348215,0,4.703386269993303,train,0,-4.0,-3.2
-4.144656569179738,-3.900583230422268,-0.24407333875747012,-15.214549537451417,1,3.9141801850194327,train,0,-4.0,-3.2
-3.69289256363001,-3.9840958929281634,0.2912033292981535,-15.87302008404706,1,3.650791966381176,train,0,-4.0,-3.2
-3.7368349958490197,-3.9790312104978245,0.24219621464880484,-15.832689374115782,1,3.666924250353687,train,0,-4.0,-3.2
-3.184130464464933,-3.9773548095833644,0.7932243451184314,-15.819351281315921,1,3.6722594874736316,train,0,-4.0,-3.2
-1.652441295146883,-3.803031145917563,2.15058985077068,-14.463045896819054,1,4.214781641272378,train,0,-4.0,-3.2
-3.4565351271998987,-3.31197764105369,-0.14455748614620892,-10.969195894839563,1,5.612321642064175,train,0,-4.0,-3.2
-5.04868003106239,-3.568935148526678,-1.479744882535712,-12.73729809438914,0,4.268215857524887,train,0,-4.0,-3.2
-4.976524168862948,-3.5577424170513874,-1.4187817518115604,-12.657531106086648,0,4.304111002261008,train,0,-4.0,-3.2
-4.1252807079512674,-3.3263752861123157,-0.7989054218389519,-11.06477254405879,0,5.0208523551735444,train,0,-4.0,-3.2
-5.909696317046789,-3.9006613479040713,-2.0090349691427183,-15.215158951032807,0,3.153178472035237,train,0,-4.0,-3.2
-2.7866172674643055,-3.7766530567910883,0.990035789326783,-14.263108311369471,1,4.294756675452211,train,0,-4.0,-3.2
-4.129248859190664,-3.53139258283337,-0.5978562763572937,-12.47073357409054,0,4.388169891659257,train,0,-4.0,-3.2
-3.5975053753076818,-3.2243234013442605,-0.37318197396342107,-10.396261396456222,0,5.3216823715947,train,0,-4.0,-3.2
-3.5534456040010367,-3.551175824595432,-0.0022697794056044415,-12.610849737191048,1,4.955660105123581,train,0,-4.0,-3.2
-5.661026678016164,-3.9850821685016458,-1.6759445095145182,-15.88087988970978,0,2.853604049630599,train,0,-4.0,-3.2
-4.393073494786758,-3.359493861855507,-1.0335796329312503,-11.286199007844829,1,5.485520396862069,train,0,-4.0,-3.2
-3.0039667501016165,-3.8136205809271835,0.8096538308255667,-14.543701935271388,0,3.455334129127875,train,0,-4.0,-3.2
-2.612068886561425,-3.3543158435049767,0.7422469569435519,-11.251434777988504,1,5.499426088804598,train,0,-4.0,-3.2
-4.221517801589428,-3.6897114847486625,-0.5318063168407654,-13.61397084068618,0,3.8737131216912184,train,0,-4.0,-3.2
