X_obs,X_true,x_noise,x_bias,a,y,split,domain_id,env_range_start,env_range_end
-4.490252788385994,-3.6663823962379407,-0.8238703921480534,1.0020621057516548,0,5.010310528758274,train,0,-4.0,-3.2
-3.2346447700208985,-3.4237404052462734,0.18909563522537506,0.5568382359905121,1,7.574802793781888,train,0,-4.0,-3.2
-3.492212111595104,-3.999908500146124,0.5076963885510201,1.513485367688312,1,2.7950335247006333,train,0,-4.0,-3.2
-4.27384350639372,-3.758133941894528,-0.5157095644991918,1.1564334396917144,0,5.782167198458572,train,0,-4.0,-3.2
-3.672267700147845,-3.8825952873463097,0.21032758719846442,1.350055972174048,0,6.75027986087024,train,0,-4.0,-3.2
-4.713499170927421,-3.926129124184962,-0.787370046742459,1.4129944198393234,1,3.4951760185612537,train,0,-4.0,-3.2
-3.874209136457494,-3.8509918308978635,-0.023217305559630672,1.3027560247462195,1,4.188635927904128,train,0,-4.0,-3.2
-4.693014831187539,-3.723551418365562,-0.9694634128219769,1.099322636002778,1,5.308759727548883,train,0,-4.0,-3.2
-3.009735395674066,-3.682586020615464,0.6728506249413984,1.0299755147313034,1,5.651369845162524,train,0,-4.0,-3.2
-3.323606290035218,-3.5689466127973146,0.24534032276209666,0.8289283708339693,1,6.550423700328185,train,0,-4.0,-3.2
-3.679414562002831,-3.664644388477364,-0.014770173525467013,0.9990523481157018,1,5.798470276358142,train,0,-4.0,-3.2
-3.9169213711840882,-3.4518243996825926,-0.46509697150149576,0.6105586556671055,1,7.388491309579971,train,0,-4.0,-3.2
-3.07218464211952,-3.836438200214786,0.764253558095266,1.280533606813444,0,6.40266803406722,train,0,-4.0,-3.2
-2.1172450013344033,-3.297506050887244,1.1802610495528407,0.31056496365695896,1,8.336474339147642,train,0,-4.0,-3.2
-5.0928790441097105,-3.978089925441659,-1.1147891186680512,1.4846012317524797,1,3.0038415342319125,train,0,-4.0,-3.2
-2.721927573585586,-3.4636259918572785,0.7416984182716921,0.6329920514092824,1,7.308451143084285,train,0,-4.0,-3.2
-2.689565706216955,-3.6661561581062987,0.9765904518893438,1.0016704938917638,1,5.786146884335556,train,0,-4.0,-3.2
-3.3502411192987136,-3.553048137243399,0.20280701794468545,0.7998875193313557,0,3.9994375966567786,train,0,-4.0,-3.2
-4.607251268524925,-3.887690449123813,-0.7195608194011115,1.3575567559588861,1,3.8526489395815093,train,0,-4.0,-3.2
-3.3235116182056843,-3.841518808732097,0.5180071905264129,1.2883224116375651,1,4.274466401471789,train,0,-4.0,-3.2
-3.467956526306461,-3.3594043450595708,-0.10855218124689027,0.4321870751100898,0,2.160935375550449,train,0,-4.0,-3.2
-3.5877431161004365,-3.225390739424482,-0.3623523766759544,0.16740009381061588,0,0.8370004690530795,train,0,-4.0,-3.2
-4.487295538872782,-3.7492606574726057,-0.738034881400177,1.1419089763059165,1,5.089156546999055,train,0,-4.0,-3.2
-3.1158194098788194,-3.4461419074645487,0.33032249758572924,0.5997264038005633,0,2.9986320190028164,train,0,-4.0,-3.2
-2.823204558611561,-3.2988886781631694,0.4756841195516086,0.3132963782531934,1,8.328830164624929,train,0,-4.0,-3.2
-3.6584331070047975,-3.2843146691969225,-0.37411843780787496,0.2844759554979005,0,1.4223797774895024,train,0,-4.0,-3.2
-3.619618828660155,-3.9319646309041776,0.3123458022440225,1.4212300755141196,1,3.4404422168751974,train,0,-4.0,-3.2
-4.6553610071875795,-3.968756173413694,-0.6866048337738856,1.4720282668129514,1,3.092736432260763,train,0,-4.0,-3.2
-3.383019045225538,-3.864135664348345,0.4811166191228068,1.3225887757619008,0,6.612943878809504,train,0,-4.0,-3.2
-3.2695456182019824,-3.29748599725647,0.027940379054487322,0.3105253428297064,0,1.552626714148532,train,0,-4.0,-3.2
-4.0332643960779695,-3.92132253293356,-0.11194186314440926,1.4061747222277636,1,3.5401698558403316,train,0,-4.0,-3.2
-3.7241614235134453,-3.6631138999959583,-0.06104752351748713,0.9963994584105358,1,5.810932758243169,train,0,-4.0,-3.2
